                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.55076,                0.55657,                 1.1205,                0.89177,                0.83425,                0.90865,                0.76517,                0.67835,                0.66267,                 1.2143,             0.00033081,             0.00033081,             0.00033081
                      2,                0.59417,                0.60271,                 1.1626,                0.82999,                0.79108,                0.87665,                0.68822,                0.83661,                0.80499,                 1.3625,             0.00059839,             0.00059839,             0.00059839
                      3,                0.64436,                0.66449,                 1.1907,                0.82982,                0.72561,                0.83306,                0.65366,                0.82345,                 0.9186,                 1.3362,             0.00079997,             0.00079997,             0.00079997
                      4,                0.63412,                0.67436,                 1.1976,                0.85589,                0.77067,                0.86493,                0.69568,                0.77731,                0.84396,                 1.3129,               0.000703,               0.000703,               0.000703
                      5,                0.61484,                0.64644,                 1.1764,                0.84779,                0.79976,                0.87262,                0.72107,                0.72772,                0.77323,                 1.2535,               0.000604,               0.000604,               0.000604
                      6,                  0.594,                0.60552,                 1.1528,                0.86535,                0.78178,                0.88639,                0.72943,                0.71979,                0.75476,                 1.2515,               0.000505,               0.000505,               0.000505
                      7,                0.58146,                0.58043,                 1.1387,                0.88022,                0.81786,                0.89367,                0.74135,                0.70047,                0.70677,                 1.2262,               0.000406,               0.000406,               0.000406
                      8,                0.56959,                0.56954,                 1.1373,                0.90647,                0.82123,                 0.9147,                 0.7676,                0.66547,                0.65142,                 1.1902,               0.000307,               0.000307,               0.000307
                      9,                0.54223,                0.53393,                  1.123,                0.91462,                0.84119,                0.92374,                0.78423,                0.64498,                0.59962,                 1.1769,               0.000208,               0.000208,               0.000208
                     10,                0.53782,                0.52304,                 1.1116,                0.91615,                0.85854,                0.92804,                 0.7925,                0.62822,                 0.5813,                 1.1599,               0.000109,               0.000109,               0.000109
